entry,family,generation,params_B,release,n_obs,eci_A,eci_A_lo,eci_A_hi,eci_B,eci_B_lo,eci_B_hi,eci_C,eci_C_lo,eci_C_hi,eci_published
Gemma 3 12B IT [Instruction-tuned (IT)],Gemma,Gemma 3,12.0,2025-03,17,127.5177229759546,125.26410628793396,129.5609511221295,126.36593026273685,125.91158833702404,126.99364238315782,126.23763265395593,124.54188013600005,128.36898237713376,
Gemma 3 12B [Pretrained (PT)],Gemma,Gemma 3,12.0,2025-03,26,114.95089046933683,111.53224387363426,118.60670170631369,114.63768625050469,112.99796859145353,116.19429584548946,115.59753412042019,113.75711095712182,118.00537761817459,
Gemma 3 1B IT [Instruction-tuned (IT)],Gemma,Gemma 3,1.0,2025-03,11,106.21326082639689,96.74894549489105,110.63638310348094,105.5791799486479,100.04836188320603,109.23262145422017,108.31649874323966,102.63533006066787,112.3793328371051,
Gemma 3 1B [Pretrained (PT)],Gemma,Gemma 3,1.0,2025-03,17,83.19569085662567,74.01511105071634,88.10667598697651,82.53151673229985,78.77482068956179,85.29147924812261,91.52484353915276,87.69658494613718,95.82636148002848,
Gemma 3 27B IT [Instruction-tuned (IT)],Gemma,Gemma 3,27.0,2025-03,27,129.91530290052972,127.73105412994046,132.4520751436832,127.77885038060992,127.11694381638837,128.49633284580554,127.85190000825894,126.34174043982958,129.63256047001545,130.83
Gemma 3 27B [Pretrained (PT)],Gemma,Gemma 3,27.0,2025-03,26,118.67926924494176,115.33029758761026,121.70184567261045,118.13460516554423,116.3877563176076,119.34198128155569,118.73101301351308,116.5873260774088,122.07802306528723,
Gemma 3 4B IT [Instruction-tuned (IT)],Gemma,Gemma 3,4.0,2025-03,17,121.04586014699096,117.63846646070697,123.43280549959245,120.37211945853588,118.99606359518683,121.53386774751945,120.63232202896153,117.76917280323867,122.80497050716656,
Gemma 3 4B [Pretrained (PT)],Gemma,Gemma 3,4.0,2025-03,26,104.50741605063112,100.98343215754475,107.04044968741135,104.11038386113461,102.83444209783474,105.40684963352305,106.90703855505669,104.88172234359733,109.33580076999979,
Gemma 3n E2B IT [Instruction-tuned (IT)],Gemma,Gemma 3n,2.0,2025-06,11,113.65152791736612,109.49615006845333,117.68251195845491,112.5698237482857,110.63546801358356,114.34153188903885,114.27206899607444,110.64047041674506,118.2983322631847,
Gemma 3n E2B [Pretrained (PT)],Gemma,Gemma 3n,2.0,2025-06,11,99.66653023664831,96.5399444146435,102.87106923267942,99.43452017184497,97.41727068736525,100.74457091451406,103.63985116280632,101.70980812800981,106.96375528504163,
Gemma 3n E4B IT [Instruction-tuned (IT)],Gemma,Gemma 3n,4.0,2025-06,11,118.18122387425404,113.82537300242521,122.6531829492127,115.80950883100533,114.03500914647155,118.3533148043808,118.03696880952948,114.52154277311197,122.05690793268852,
Gemma 3n E4B [Pretrained (PT)],Gemma,Gemma 3n,4.0,2025-06,11,106.91592191690583,104.04920607911752,109.17541216082765,106.46036402885296,105.18480410090757,107.60342853124732,109.6594668324096,107.85431312887827,112.24055621308575,
"Gemma 4 12B [IT, Thinking mode]",Gemma,Gemma 4,11.95,2026-06,12,141.89086430600065,140.34209279213184,144.82787335850307,143.60354118931866,143.02188164868062,144.194267731879,141.03249049389294,138.75138484919987,143.99699056964408,
"Gemma 4 26B A4B [IT, Thinking mode]",Gemma,Gemma 4,25.2,2026-03,13,144.06494033195486,142.64446942989883,147.15904407868422,146.62717650165933,145.67993714244022,147.38361616033927,143.4049250608245,140.71664781882544,147.23035678683937,
"Gemma 4 31B [IT, Thinking mode]",Gemma,Gemma 4,30.7,2026-03,14,145.89033855441465,143.56258818060587,149.48256889667337,150.02513404232874,149.0576206638031,151.16176058004942,145.96148844198353,142.81356730220813,150.10742129713594,142.28
"Gemma 4 E2B [IT, Thinking mode]",Gemma,Gemma 4,2.3,2026-03,12,130.70523985562195,127.64602052235341,134.34450214110998,128.72593442202947,127.61578601960936,129.85821520545753,129.2603548626226,127.0783158584841,131.24111298514842,
"Gemma 4 E4B [IT, Thinking mode]",Gemma,Gemma 4,4.5,2026-03,12,134.81574867553687,133.22216934662202,137.0516498845994,134.19992092506897,133.4424804217955,134.91074857746966,133.62035973113973,131.9781008873781,135.649693605057,
Gemma 7B IT [Instruction-tuned (IT)],Gemma,Gemma 1,7.0,2024-02,13,99.6416165079485,97.23592375487472,102.09637670643347,99.50951309095659,97.56318393473794,102.18344817932943,102.39644493050922,101.04096348799001,105.5966197921984,
Gemma 7B [Pretrained (PT)],Gemma,Gemma 1,7.0,2024-02,25,108.60643563833224,105.90424610834819,111.62815962160552,105.41871258774975,103.8225010363418,107.33774117199061,108.29559500846318,106.84600828835899,111.1243729068707,111.11
Llama-2-13b-chat-hf [Instruct/chat],Llama,Llama 2,13.016,2023-07,6,101.40597418949594,91.97704403015013,106.47067120232806,104.4519440342214,96.37254141529282,107.30415824712765,103.79630517381139,94.75158230882096,108.02514227835971,
Llama-2-13b-hf [Pretrained (PT)],Llama,Llama 2,13.016,2023-07,6,104.61696453613085,101.3044187021014,107.87700168563856,101.88684244626363,97.96438186174453,107.54768960902503,101.40521411674001,98.08361374439906,107.9326069777966,105.12
Llama-2-7b-chat-hf [Instruct/chat],Llama,Llama 2,6.738,2023-07,6,99.95680206734178,84.57243205996537,105.39792523069607,103.2954821528647,88.14632574144586,107.3057037486622,102.66964631386062,89.38593708931535,107.5605405297737,
Llama-2-7b-hf [Pretrained (PT)],Llama,Llama 2,6.738,2023-07,6,97.71251332359236,94.47935241343552,100.51070869692984,98.90707846728718,98.06543215136486,100.59831151363306,98.54495985292631,97.73611686231264,102.66149361503071,97.8
Llama-3.1-8B [Pretrained (PT)],Llama,Llama 3.1,8.03,2024-07,6,98.20921050113664,82.17040721410278,114.0960063333866,101.08161963840163,87.79547160450622,115.02471825322864,101.03883449208907,92.41001532098255,114.24547721656471,
Llama-3.1-8B-Instruct [Instruct/chat],Llama,Llama 3.1,8.03,2024-07,6,114.7142458309113,109.45117987530685,117.42525129987833,116.83956067250456,114.94995844823559,118.81526459294311,115.48733664199106,113.2203818028536,117.78348652097444,114.92
Llama-3.2-1B [Pretrained (PT)],Llama,Llama 3.2,1.24,2024-09,6,81.9217653117467,73.82661445254683,91.17957491444992,87.96320189207694,76.16193657223467,88.80719524031582,88.20946758821808,85.60362625201631,94.92430278531742,
Llama-3.2-1B-Instruct [Instruct/chat],Llama,Llama 3.2,1.24,2024-09,6,107.1542384822297,91.35070980088594,113.60914088183512,109.60055720703845,97.42289785808268,115.71742668771468,108.67021240224571,96.87040672099093,115.34138773762449,
Llama-3.2-3B [Pretrained (PT)],Llama,Llama 3.2,3.213,2024-09,6,89.7441383161028,81.4190136935685,106.6184834329307,94.60912799927073,87.17595027643435,107.73941664763737,94.51103855343476,89.13503523404714,107.29733206749795,
Llama-3.2-3B-Instruct [Instruct/chat],Llama,Llama 3.2,3.213,2024-09,6,117.42824601505657,111.22072357272594,122.08080904868102,118.61992692767471,113.47078675479484,121.32238631176644,117.17828793591997,113.58002948948696,121.15266037577742,
Meta-Llama-3-8B [Pretrained (PT)],Llama,Llama 3,8.03,2024-04,6,98.613377129392,84.42078517034034,113.24904767309964,101.5001953463348,89.68256652432423,114.27990508393984,101.29034715205745,91.67281627086311,114.00690488420803,
Meta-Llama-3-8B-Instruct [Instruct/chat],Llama,Llama 3,8.03,2024-04,6,116.81129851545477,113.98105058102706,118.84009636336467,118.50250984907422,115.19436027706416,121.45474275037469,117.2223651991365,113.77864817453973,123.96259002742896,115.91
OLMo-1B-hf [Pretrained (PT)],OLMo,OLMo,1.177,2024-04,6,88.73698535314966,81.4548361599063,101.56910183436949,93.62652421066899,83.18780663997717,95.9540636089939,93.56259353448712,85.98093833151448,100.12108218170593,
