draw,entry,eci
1,Qwen3-30B-A3B [Thinking mode],139.39015097094352
1,Qwen3-30B-A3B-Instruct-2507 [Instruct (non-thinking)],135.835420946986
1,Qwen3-30B-A3B-Thinking-2507 [Thinking],141.51648128642915
1,Qwen3-32B [Non-thinking mode],129.8420862113846
1,Qwen3-32B [Thinking mode],140.10619141575793
1,Qwen3-4B [Non-thinking mode],126.64993605135098
1,Qwen3-4B [Thinking mode],135.29845399987153
1,Qwen3-4B-Instruct-2507 [Instruct (non-thinking)],132.69761794597952
1,Qwen3-4B-Thinking-2507 [Thinking],137.50754419631798
1,Qwen3-8B [Non-thinking mode],128.57318107886192
1,Qwen3-8B [Thinking mode],137.2255153211986
1,Qwen3.5-0.8B [Non-thinking rows],108.39653803212218
1,Qwen3.5-0.8B [Thinking (default)],109.78406712578132
1,Qwen3.5-27B [Thinking (default)],148.03041107999485
1,Qwen3.5-2B [Non-thinking rows],120.15385097190877
1,Qwen3.5-2B [Thinking (default)],130.4977488817924
1,Qwen3.5-35B-A3B [Thinking (default)],144.59887229823292
1,Qwen3.5-4B [Thinking (default)],141.74308804207124
1,Qwen3.5-9B [Thinking (default)],145.15400561530922
1,Qwen3.6-27B [Thinking (default)],148.81306981139602
1,Qwen3.6-35B-A3B [Thinking (default)],147.00403048411326
1,Qwen3.8-27B [Thinking (default)],154.02605939338488
1,SmolLM-1.7B [Pretrained (PT)],87.77979710655222
1,SmolLM-1.7B-Instruct [Instruct/chat],92.57044249727278
1,SmolLM-135M [Pretrained (PT)],94.19114042281383
1,SmolLM-135M-Instruct [Instruct/chat],86.42010463362234
1,SmolLM-360M [Pretrained (PT)],86.40661162059982
1,SmolLM-360M-Instruct [Instruct/chat],78.6334383243028
1,SmolLM2-1.7B [Pretrained (PT)],98.41105043329004
1,SmolLM2-1.7B-Instruct [Instruct/chat],111.03051265178657
1,SmolLM2-135M [Pretrained (PT)],90.12449876188144
1,SmolLM2-135M-Instruct [Instruct/chat],96.16057875154631
1,SmolLM2-360M [Pretrained (PT)],87.83039172930532
1,SmolLM2-360M-Instruct [Instruct/chat],88.34683520644339
1,phi-1 [Pretrained (PT)],92.29300362013434
1,phi-1_5 [Pretrained (PT)],87.29477142075892
1,phi-2 [Pretrained (PT)],109.91760206985029
1,phi-4 [Pretrained (PT)],129.96558715388497
2,Gemma 1.1 2B IT [Instruction-tuned (IT)],93.52164212075013
2,Gemma 1.1 7B IT [Instruction-tuned (IT)],104.69291682710599
2,Gemma 2 27B IT [Instruction-tuned (IT)],122.59832193998129
2,Gemma 2 27B [Pretrained (PT)],114.25395708514738
2,Gemma 2 2B IT [Instruction-tuned (IT)],105.94197014617244
2,Gemma 2 2B [Pretrained (PT)],98.20358469795447
2,Gemma 2 9B IT [Instruction-tuned (IT)],116.67190202566918
2,Gemma 2 9B [Pretrained (PT)],113.55291010571332
2,Gemma 2B IT [Instruction-tuned (IT)],90.27571761257167
2,Gemma 2B [Pretrained (PT)],95.14497722119637
2,Gemma 3 12B IT [Instruction-tuned (IT)],127.91993897397973
2,Gemma 3 12B [Pretrained (PT)],116.1792285800421
2,Gemma 3 1B IT [Instruction-tuned (IT)],105.11055916503915
2,Gemma 3 1B [Pretrained (PT)],78.05549643715536
2,Gemma 3 27B IT [Instruction-tuned (IT)],129.87289544212643
2,Gemma 3 27B [Pretrained (PT)],119.68457688759408
2,Gemma 3 4B IT [Instruction-tuned (IT)],117.03771504810028
2,Gemma 3 4B [Pretrained (PT)],105.35344514220749
2,Gemma 3n E2B IT [Instruction-tuned (IT)],113.34180552810021
2,Gemma 3n E2B [Pretrained (PT)],99.90771912420098
2,Gemma 3n E4B IT [Instruction-tuned (IT)],117.5020543030082
2,Gemma 3n E4B [Pretrained (PT)],105.03995188382467
2,"Gemma 4 12B [IT, Thinking mode]",143.71671809068658
2,"Gemma 4 26B A4B [IT, Thinking mode]",146.55641471932068
2,"Gemma 4 31B [IT, Thinking mode]",147.22872255867387
2,"Gemma 4 E2B [IT, Thinking mode]",126.9986587987111
2,"Gemma 4 E4B [IT, Thinking mode]",133.9604707125398
2,Gemma 7B IT [Instruction-tuned (IT)],100.05311232720231
2,Gemma 7B [Pretrained (PT)],106.79725174395045
2,Llama-2-13b-chat-hf [Instruct/chat],93.07709476974011
2,Llama-2-13b-hf [Pretrained (PT)],101.96342010869455
2,Llama-2-7b-chat-hf [Instruct/chat],99.32866629504332
2,Llama-2-7b-hf [Pretrained (PT)],98.91841635892975
2,Llama-3.1-8B [Pretrained (PT)],102.45466167420685
2,Llama-3.1-8B-Instruct [Instruct/chat],114.78326026408449
2,Llama-3.2-1B [Pretrained (PT)],80.75552625950723
2,Llama-3.2-1B-Instruct [Instruct/chat],109.42555603442062
2,Llama-3.2-3B [Pretrained (PT)],84.99907016564669
2,Llama-3.2-3B-Instruct [Instruct/chat],113.2340723931292
2,Meta-Llama-3-8B [Pretrained (PT)],99.28409254748775
2,Meta-Llama-3-8B-Instruct [Instruct/chat],115.82219850846761
2,OLMo-1B-hf [Pretrained (PT)],88.89527803348292
2,OLMo-2-1124-7B-Instruct [Instruct/chat],108.05571738005648
2,OLMo-7B-Instruct-hf [Instruct/chat],100.00978656738067
2,OLMo-7B-hf [Pretrained (PT)],94.34156053380693
2,OLMoE-1B-7B-0125-Instruct [Instruct/chat],117.13914132866489
2,OLMoE-1B-7B-0924 [Pretrained (PT)],91.03804187965892
2,OLMoE-1B-7B-0924-Instruct [Instruct/chat],107.9802975197246
2,Phi-3-medium-128k-instruct [Instruct/chat],120.59363984940765
2,Phi-3-medium-4k-instruct [Instruct/chat],120.0332436984981
2,Phi-3-mini-128k-instruct [Instruct/chat],115.62656092633333
